"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"akcja";0,00374669716879695;0;0;0;0;0,00197549333288014;0;0;0,0375065494749638;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0,00237248174831526;0;0;0;0;0;0,00367828710469262;0;0;0;0;0;0;0;0;0;0;0
"alastor";0,00187334858439847;0,00194518992894261;0;0;0;0;0;0,00301581541644669;0;0;0;0;0;0;0;0;0;0;0
"albus";0,00395344268984099;0;0,00451391066956543;0;0,00248664547947299;0,0566984684399717;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;0,00972594964471304;0;0;0,00294575775743632;0,027656906660322;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusie";0;0,00237248174831526;0;0;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0;0;0;0
"alice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0520353591074904;0,0164482500983677;0,0192955151368548;0,00874679966320461
"amos";0,00114242965650495;0;0;0;0;0,00963776710220649;0;0;0;0;0;0;0;0;0;0;0;0;0
"amosa";0,00114242965650495;0;0;0;0;0,00240944177555162;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglii";0;0;0;0,00389892388392742;0;0;0;0;0;0;0,00507231430994748;0,0403479547382186;0;0;0;0;0;0;0
"animagiem";0,00114242965650495;0;0;0;0;0;0,00645070012600514;0;0;0;0;0;0;0;0;0;0;0;0
"aragog";0;0;0;0,00475538435350452;0,00359284016973848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aresztowaæ";0;0;0;0;0,00359284016973848;0;0;0;0;0;0,0030932642985177;0;0;0;0;0;0;0;0
"argument";0,00114242965650495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"armia";0;0;0;0;0;0;0;0;0;0;0,0123730571940708;0;0;0;0;0;0;0,0278792061239793;0
